소득구간,가구별일련번호,가구원수,맞벌이가구,거처구분,입주형태,주택소유구분,소득5분위코드,소득10분위코드,가계지출,소비지출,식료품,주류,소득,소득대비지출비중,소득대비식비비중,소득대비주류비비중
1,4958.0393081761,1.309748427672956,0.036949685534591194,1.625,2.8394964594807237,1.453616352201258,1.0,1.009433962264151,997065.0448113207,867672.0951257861,190879.92688679244,18635.615566037737,1000000.0,0.8676720951257852,0.19087992688679278,0.01863561556603774
2,4880.491205211726,1.6110749185667752,0.10358306188925082,1.6866449511400652,2.737459283387622,1.4175895765472313,1.311400651465798,2.311400651465798,1510801.313355049,1257520.5889250815,247821.98631921824,25721.685342019544,2000000.0,0.6287602944625411,0.12391099315960917,0.012860842671009785
3,4764.809868421053,1.9230263157894736,0.16513157894736843,1.8835526315789475,2.9460526315789473,1.444078947368421,2.019078947368421,3.6875,2135997.1138157896,1718097.1809210526,279764.5184210526,33679.89736842105,3000000.0,0.5726990603070183,0.09325483947368436,0.011226632456140358
4,4669.985873605948,2.3382899628252787,0.2379182156133829,1.879553903345725,2.6237918215613383,1.371003717472119,3.0,5.306319702602231,2893659.3903345726,2244108.296654275,337017.12565055763,41403.88847583643,4000000.0,0.5610270741635682,0.08425428141263948,0.010350972118959113
5,4805.439631336406,2.703225806451613,0.3778801843317972,1.8746543778801843,2.2442396313364057,1.2894009216589861,3.5788018433179722,6.578801843317972,3575419.6304147467,2708189.5723502305,377056.530875576,40034.505069124425,5000000.0,0.5416379144700456,0.07541130617511521,0.008006901013824883
6,4768.998878923767,2.896860986547085,0.4742152466367713,1.984304932735426,2.2073991031390134,1.281390134529148,4.0,7.696188340807175,4114328.2320627803,3011711.489910314,405054.48430493276,42819.46076233184,6000000.0,0.501951914985052,0.06750908071748886,0.007136576793721982
7,4632.846153846154,3.0953177257525084,0.5668896321070234,1.9548494983277591,1.9381270903010033,1.2006688963210703,4.6923076923076925,8.692307692307692,4782910.311036789,3415589.6822742475,442097.8712374582,39232.421404682274,7000000.0,0.4879413831820358,0.06315683874820831,0.005604631629240326
8,4485.10847189232,3.1504354711005544,0.6476642913697546,1.9794140934283453,1.7355502771179732,1.1464766429136974,5.0,9.646872525732384,6549956.703087886,4346764.934283452,477693.72842438635,39961.71654790182,8000000.0,0.5433456167854307,0.05971171605304825,0.004995214568487733
